Character,Strokes,Composition,Character1,Strokes1,Verification1,Character2,Strokes2,Verification2,Cangjie,Radical
佘,7.0,吕,人,2.0,,示,5.0,,OMMF,人
余,7.0,吕,亼,3.0,,朩,4.0,,OMD,人
佚,7.0,吅,亻,2.0,,失,5.0,,OHQO,人
佛,7.0,吅,亻,2.0,,弗,5.0,,OLLN,人
作,7.0,吅,亻,2.0,,乍,5.0,,OOS,人
佝,7.0,吅,亻,2.0,,句,5.0,,OPR,人
佞,7.0,回,仁,4.0,,女,3.0,,OMMV,人
佟,7.0,吅,亻,2.0,,冬,5.0,,OHEY,人
你,7.0,吅,亻,2.0,,尔,5.0,,ONF,人
佡,7.0,吅,亻,2.0,,仚,5.0,,OOU,人
佢,6.0,吅,亻,2.0,,巨,4.0,,OSS,人
佣,7.0,吅,亻,2.0,,用,5.0,,OBQ,人
佤,7.0,吅,亻,2.0,,瓦,5.0,,OMVN,人
佥,7.0,吕,亼,3.0,,小一,4.0,?,OMFM,人
佦,7.0,吅,亻,2.0,,石,5.0,,OMR,人
佧,7.0,吅,亻,2.0,,卡,5.0,,OYMY,人
佨,7.0,吅,亻,2.0,,包,5.0,,OPRU,人
佩,8.0,吅,亻,2.0,,凧,6.0,,OHNB,人
佪,8.0,吅,亻,2.0,,回,6.0,,OWR,人
佫,8.0,吅,亻,2.0,,各,6.0,,OHER,人
佬,8.0,吅,亻,2.0,,老,6.0,,OJKP,人
佭,8.0,吅,亻,2.0,,夅,6.0,,OHEQ,人
佮,8.0,吅,亻,2.0,,合,6.0,,OOMR,人
佯,8.0,吅,亻,2.0,,羊,6.0,,OTQ,人
佰,8.0,吅,亻,2.0,,百,6.0,,OMA,人
佱,7.0,吕,亼,2.0,,正,5.0,,OMMM,人
佲,8.0,吅,亻,2.0,,名,6.0,,ONIR,人
佳,8.0,吅,亻,2.0,,圭,6.0,,OGG,人
佴,8.0,吅,亻,2.0,,耳,6.0,,OSJ,人
併,8.0,吅,亻,2.0,,并,6.0,,OTT,人
佶,8.0,吅,亻,2.0,,吉,6.0,,OGR,人
佷,8.0,吅,亻,2.0,,艮,6.0,,OAV,人
佸,8.0,吅,亻,2.0,,舌,6.0,,OHJR,人
佹,8.0,吅,亻,2.0,,危,6.0,,ONMU,人
佺,8.0,吅,亻,2.0,,全,6.0,,OOMG,人
佻,8.0,吅,亻,2.0,,兆,6.0,,OLMO,人
佼,8.0,吅,亻,2.0,,交,6.0,,OYCK,人
佽,8.0,吅,亻,2.0,,次,6.0,,OIMO,人
佾,8.0,吅,亻,2.0,,䏌,6.0,,OCB,人
使,8.0,吅,亻,2.0,,吏,6.0,,OJLK,人
侀,8.0,吅,亻,2.0,,刑,6.0,,OMTN,人
侁,8.0,吅,亻,2.0,,先,6.0,,OHGU,人
侂,8.0,吅,亻,2.0,,㡯,6.0,,OIHP,人
侃,8.0,吅,亻,2.0,,口川,6.0,?,ORHU,人
侄,8.0,吅,亻,2.0,,至,6.0,,OMIG,人
侅,8.0,吅,亻,2.0,,亥,6.0,,OYVO,人
來,8.0,+,木,4.0,,从,4.0,,DOO,人
侇,8.0,吅,亻,2.0,,夷,6.0,,OKN,人
侈,8.0,吅,亻,2.0,,多,6.0,,ONIN,人
侉,8.0,吅,亻,2.0,,夸,6.0,,OKMS,人
侊,8.0,吅,亻,2.0,,光,6.0,,OFMU,人
例,8.0,吅,亻,2.0,,列,6.0,,OMNN,人
侌,8.0,吕,今,4.0,,云,4.0,,OINI,人
侍,8.0,吅,亻,2.0,,寺,6.0,,OGDI,人
侎,8.0,吅,亻,2.0,,米,6.0,,OFD,人
侏,8.0,吅,亻,2.0,,朱,6.0,,OHJD,人
侐,8.0,吅,亻,2.0,,血,6.0,,OHBT,人
侑,8.0,吅,亻,2.0,,有,6.0,,OKB,人
侒,8.0,吅,亻,2.0,,安,6.0,,OJV,人
侓,8.0,吅,亻,2.0,,聿,6.0,,OLQ,人
侔,8.0,吅,亻,2.0,,牟,6.0,,OIHQ,人
侕,8.0,吅,亻,2.0,,而,6.0,,OMBL,人
侖,8.0,吕,亼,3.0,,𠕁,5.0,,OMBT,人
侗,8.0,吅,亻,2.0,,同,6.0,,OBMR,人
侘,8.0,吅,亻,2.0,,宅,6.0,,OJHP,人
侙,8.0,吅,亻,2.0,,式,6.0,,OIPM,人
侚,8.0,吅,亻,2.0,,旬,6.0,,OPA,人
供,8.0,吅,亻,2.0,,共,6.0,,OTC,人
侜,8.0,吅,亻,2.0,,舟,6.0,,OHBY,人
依,8.0,吅,亻,2.0,,衣,6.0,,OYHV,人
侞,8.0,吅,亻,2.0,,如,6.0,,OVR,人
侟,8.0,吅,亻,2.0,,存,6.0,,OKLD,人
侠,8.0,吅,亻,2.0,,夹,6.0,,OKT,人
価,8.0,吅,亻,2.0,,覀,6.0,,OMLW,人
侢,8.0,吅,亻,2.0,,再,6.0,,OMGB,人
侣,8.0,吅,亻,2.0,,吕,6.0,,ORR,人
侤,8.0,吅,亻,2.0,,考,6.0,,OJKS,人
侥,8.0,吅,亻,2.0,,尧,6.0,,OJPU,人
侦,8.0,吅,亻,2.0,,贞,6.0,,OYBO,人
侧,8.0,吅,亻,2.0,,则,6.0,,OBON,人
侨,8.0,吅,亻,2.0,,乔,6.0,,OHKL,人
侩,8.0,吅,亻,2.0,,会,6.0,,OOMI,人
侪,8.0,吅,亻,2.0,,齐,6.0,,OYKL,人
侫,8.0,吅,亻,2.0,,妄,6.0,,OYVV,人
侬,8.0,吅,亻,2.0,,农,6.0,,OHBV,人
侭,8.0,吅,亻,2.0,,尽,6.0,,OSOY,人
侮,9.0,吅,亻,2.0,,每,7.0,,OOWY,人
侯,9.0,吅,亻,2.0,,2矢,7.0,?,ONMK,人
侰,9.0,吅,亻,2.0,,君,7.0,,OSKR,人
侱,9.0,吅,亻,2.0,,呈,7.0,,ORHG,人
