字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
几,几,5,jī jǐ,几,,0.1098,199,104,0.099406205,211,99
会,亼云,2,huì kuài guì,會,,0.3842,30,95,0.379779194,29,100
你,人尔,1,nǐ,你,,0.2151,83,191,0.364439461,32,101
对,又寸,1,duì,對,,0.3515,36,101,0.363626558,33,102
方,方,1,fāng fēng páng wǎng,方,,0.2651,61,96,0.254652593,60,103
竹,竹,5,zhú,竹,,0.0091,1307,105,0.006201422,1588,104
而,而,1,ér néng,而,,0.3178,47,111,0.335517064,36,105
其,其,3,qí jī,其,,0.1791,113,131,0.208278879,85,106
廾,廾,1,gǒng gòng niàn,廾,,0,3938,100,0,4017,107
车,车,2,chē jū,車,,0.06,378,126,0.061406477,361,108
自,自,1,zì,自,,0.2792,56,129,0.316110749,43,109
那,冉阝,1,nà nǎ nèi nā né něi nuó nuò,那,,0.2482,65,156,0.329986946,38,110
能,能,1,néng nài nái tái tài xióng,能,,0.3496,38,115,0.343847124,35,111
冂,冂,1,jiōng táng,冂,,0,3938,112,0,4017,112
者,耂曰,1,zhě zhū,者,,0.149,140,132,0.186545997,103,113
于,于,1,yú wū yū,于,,0.3433,40,114,0.32584543,40,114
下,下,2,xià,下,,0.3198,46,121,0.321019174,42,115
用,用,2,yòng,用,,0.34,42,91,0.276728104,51,116
牛,牛,1,niú,牛,,0.0234,772,99,0.015527843,1018,117
二,二,5,èr,二,,0.1538,135,117,0.138243124,157,118
丂,丂,2,kǎo qiǎo yú,丂,,0,3938,140,0,4017,119
衣,衣,3,yī yì,衣,,0.0278,680,113,0.026425291,725,120
得,彳旦寸,2,dé děi de,得,,0.2977,50,138,0.325930183,39,121
着,羊目,1,zhuó zháo zhāo zhe chú zhù,着,,0.358,35,110,0.323675966,41,122
示,示,1,shì qī shí zhì,示,,0.0454,472,118,0.051142607,425,123
立,立,3,lì wèi,立,,0.1148,191,125,0.105933201,197,124
老,老,1,lǎo,老,,0.1339,163,128,0.115268924,179,125
尔,尔,1,ěr,爾,,0.0391,540,242,0.098078067,220,126
戈,戈,2,gē,戈,,0.0025,2250,147,0.005403505,1695,127
年,年,1,nián,年,,0.3051,48,135,0.311046254,45,128
首,首,1,shǒu,首,,0.0378,553,178,0.043945341,481,129
犮,犬,1,quǎn bá,犮,,0,3938,98,0,4017,130
过,辵寸,1,guò guo guō huò,過,,0.3253,43,122,0.304864471,46,131
发,犮,1,fà fǎ,髮,,0.3593,34,103,0.296068271,47,132
主,主,1,zhǔ,主,,0.3232,45,88,0.206555401,87,133
成,戌丁,3,chéng,成,,0.3425,41,97,0.2578794,59,134
后,厂一口,1,hòu,后,,0.2742,59,154,0.294962351,48,135
厶,厶,3,sī mǒu,厶,,0,3938,171,0,4017,136
行,行,3,háng xíng hàng héng xìng,行,,0.2496,63,157,0.27485114,53,137
夊,夊,1,suī,夊,,0,3938,136,0,4017,138
京,京,3,jīng,京,,0.0313,631,143,0.036818357,566,139
多,夕,4,duō,多,,0.2843,54,127,0.248929715,61,140
作,人乍,5,zuò zuō zuó,作,,0.3512,37,116,0.28050632,49,141
走,止,2,zǒu,走,,0.0962,223,145,0.100059421,207,142
此,止匕,1,cǐ,此,,0.1353,162,173,0.164613636,116,143
开,廾一,1,kāi,開,,0.1887,106,130,0.194834197,94,144
道,辵首,1,dào dǎo,道,,0.1601,126,267,0.276322427,52,145
本,木,5,běn,本,,0.2041,92,124,0.200573613,92,146
只,口八,1,zhī zhǐ,只,,0.1708,118,148,0.19124099,97,147
所,户斤,1,suǒ,所,,0.245,67,170,0.270293095,54,148
小,小,2,xiǎo,小,,0.2456,66,133,0.212391972,83,149
然,肉犬火,1,rán,然,,0.2367,72,174,0.26409064,55,150
家,宀豕,4,jiā jia jie gū,家,,0.2958,51,137,0.263451894,56,151
井,井,2,jǐng,井,,0.0085,1362,152,0.007833429,1431,152
种,禾中,5,zhǒng zhòng chóng,種,,0.2938,52,141,0.260120697,57,153
爪,爪,5,zhǎo zhuǎ,爪,,0.002,2411,163,0.002283674,2359,154
事,史,1,shì,事,,0.1958,99,225,0.257964669,58,155
兑,㕣儿,2,duì ruì yuè,兌,,0.0011,2860,197,0.002119336,2420,156
分,八刀,5,fēn fèn,分,,0.2991,49,120,0.216730383,79,157
巾,巾,5,jīn,巾,,0.003,2096,175,0.002566872,2277,158
经,糸𢀖,5,jīng jìng,經,,0.2793,55,146,0.248748323,62,159
